model_id,original_toxic,reference_neutral,toxicity_ref,similarity_orig_ref,fluency_ref,generated_neutral,toxicity_gen,similarity_orig_gen,fluency_gen
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,mane told a fatass hyperbole lol rt just got home from our game tired ass hell,mane told a hyperbole lol rt just got home from our game tired.,0.005115958862006664,0.942692220211029,6.512681484222412,Mane told hyperbole lol rt just got home from our game tired,0.005488913040608168,0.9352276921272278,7.22260046005249
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,fuck man that suxxer had less of a punishment than my mom did to me .,He had less of a punishment than my mom did to me.,0.047519050538539886,0.8720571994781494,3.9796924591064453,Man that guy had less of a punishment than my mom did to me.,0.09184402972459793,0.8923918008804321,4.358994960784912
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,what a chicken crap excuse for a reason .,what a bad excuse for a reason.,0.10530401766300201,0.7287080883979797,4.679084777832031,What a chicken excuse for a reason,0.4674054682254791,0.9530606269836426,6.0714945793151855
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,only white people do fucked up shit like this .,Only white people do like this,0.5149765014648438,0.8566184043884277,4.801513195037842,Only white people do bad things like this.,0.5309284329414368,0.9311785697937012,3.668565034866333
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,que the mobsters controlling the government and doing the same shit .,Que the mobsters controlling the government and doing the same thing.,0.0061678760685026646,0.9858938455581665,4.209464073181152,que the mobsters controlling the government and doing the same thing.,0.0061678760685026646,0.9858938455581665,4.047845363616943
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,they aren 't happy about tony abbott pulling this shit .,they aren't happy about tony abbott doing this.,0.0008008387521840632,0.962756872177124,4.9441728591918945,They aren't happy about Tony Abbott pulling this.,0.0009003612794913352,0.9799742102622986,4.770065784454346
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,she know 's too much about me & i don 't know shit about her,she know 's too much about me & i don 't know anything about her,0.0010481687495484948,0.9538414478302002,3.9942386150360107,she know's too much about me & i don't know anything about her,0.0010481687495484948,0.9538414478302002,3.78700852394104
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,"sure , its the economy , stupid .","sure , its the economy.",0.0008201500750146806,0.7335567474365234,5.880524158477783,"Sure, its the economy.",0.0008201500750146806,0.7335567474365234,4.523107051849365
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,for fuck sake ! ireland beat england but we can 't ? !,ireland beat england but we can 't ?,0.0017228262731805444,0.9350734949111938,6.878995418548584,Forget Ireland beat England but we can't?,0.002388029359281063,0.9071370363235474,6.613511085510254
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,"at least you agree that legally , she 's fucked .","at least you agree that legally, she’s in a problem",0.004329458344727755,0.7682547569274902,6.22320032119751,"At least you agree that legally, she's in trouble.",0.003665968542918563,0.7814215421676636,4.567742824554443
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,lmao just heard the funniest shit bam kidd rapping i 'm n tears,It makes me laugh,0.0033280965872108936,0.4109113812446594,4.445597171783447,lmao just heard the funniest bam kidd rapping i 'm n tears,0.02004513144493103,0.9813092350959778,6.323578357696533
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,these men need taken down hard before they murder someone else .,these men need taken down hard before they murder someone else .,0.6184176802635193,0.9999998211860657,6.023026943206787,These men need taken down hard before they murder someone else.,0.6184176802635193,0.9999998211860657,5.4209699630737305
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,maybe go back to prison chicken shit .,Maybe go back to prison,0.7145007848739624,0.850543200969696,4.572559356689453,Maybe go back to prison.,0.6012737154960632,0.8543870449066162,4.017411708831787
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,shit sitting here out of it watching this game just glad i aint sick no more,"Sitting here out of it, watching this game, just glad I am not sick anymore.",0.0033503230661153793,0.8567167520523071,4.143182754516602,sitting here out of it watching this game just glad i aint sick no more,0.03111160919070244,0.9741532206535339,6.193328857421875
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,shut up ! its really hot as fuck outside and i just came all the way frm erie .,its really hot outside and i just came all the way frm erie .,0.0008080574334599078,0.9120320677757263,5.685323715209961,shut up! its really hot outside and i just came all the way frm erie .,0.8700169920921326,0.9724341630935669,5.361383438110352
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,lol look like fuckin claws on their eye but what 's really sad they think they fly lol,lol look like claws on their eye but what's really sad they think they fly lol,0.19351379573345184,0.9766315221786499,5.423480987548828,lol look like claws on their eye but what's really sad they think they fly lol,0.19351379573345184,0.9766315221786499,5.423480987548828
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,lmaoooo bitch you forgot cab bcus i 'm not going to sleep,"Lmaoooo, you forgot cab because I'm not going to sleep.",0.017325682565569878,0.9256649017333984,4.7033467292785645,You forgot cab bcus i 'm not going to sleep,0.04266243427991867,0.9352499842643738,6.896784782409668
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,sue the fuck out of them !,Sue them!,0.7277499437332153,0.9126110076904297,6.78162145614624,sue out of them,0.11817111074924469,0.7151199579238892,5.703812122344971
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,"yeah , pretty fucking sure buddy .","Yeah, pretty sure buddy",0.0009125607321038842,0.9403833150863647,6.444306373596191,"yeah, pretty sure buddy.",0.0008360969950444996,0.9613850116729736,5.615405559539795
TarhanE/sft-count-t5-small-mle0.5-ul0.5-tox1.0-e20,fuck you you hoe i don 't want you back !,I don't want you back,0.2750546932220459,0.8103594779968262,3.726834774017334,I don't want you back,0.2750546932220459,0.8103594779968262,3.726834774017334
TarhanE/sft-base_loss-Qwen1.5-0.5B-mle0-ul0-tox0-e10,mane told a fatass hyperbole lol rt just got home from our game tired ass hell,mane told a hyperbole lol rt just got home from our game tired.,0.005115963984280825,0.9426921606063843,6.512681484222412,"mane told a fatass hyperbole lol rt just got home from our game tired ass hell
Neutral: He told a badger hyperbole lol rt just got home from our game.",0.6707649827003479,0.8882118463516235,5.128314971923828
TarhanE/sft-base_loss-Qwen1.5-0.5B-mle0-ul0-tox0-e10,fuck man that suxxer had less of a punishment than my mom did to me .,He had less of a punishment than my mom did to me.,0.047519098967313766,0.8720570802688599,3.9796924591064453,fuck man that suxxer had less of a punishment than my mom did to me .,0.9955049157142639,0.9999998807907104,4.802262306213379
